2024-04-22 19:41:10,988 - INFO - ***STARTING***
2024-04-22 19:41:11,458 - INFO - Started processing model with 4 early and 4 late layers for 66bdbc812bd0a196e194052f3f12cb2e
2024-04-22 19:41:12,398 - INFO - Iteration: 0, PSNR: 11.349688529968262
2024-04-22 19:41:18,889 - INFO - Iteration: 100, PSNR: 19.895099639892578
2024-04-22 19:41:25,449 - INFO - Iteration: 200, PSNR: 21.659353256225586
2024-04-22 19:41:31,987 - INFO - Iteration: 300, PSNR: 21.43760871887207
2024-04-22 19:41:38,330 - INFO - Iteration: 400, PSNR: 22.47879409790039
2024-04-22 19:41:44,413 - INFO - Iteration: 500, PSNR: 24.59595489501953
2024-04-22 19:41:50,585 - INFO - Iteration: 600, PSNR: 24.60080909729004
2024-04-22 19:41:57,000 - INFO - Iteration: 700, PSNR: 25.21137046813965
2024-04-22 19:42:03,373 - INFO - Iteration: 800, PSNR: 24.9349422454834
2024-04-22 19:42:09,744 - INFO - Iteration: 900, PSNR: 25.745553970336914
2024-04-22 19:42:16,801 - INFO - Iteration: 1000, PSNR: 26.077152252197266
2024-04-22 19:42:23,162 - INFO - Iteration: 1100, PSNR: 26.525516510009766
2024-04-22 19:42:29,840 - INFO - Iteration: 1200, PSNR: 25.173255920410156
2024-04-22 19:42:36,223 - INFO - Iteration: 1300, PSNR: 26.840999603271484
2024-04-22 19:42:42,604 - INFO - Iteration: 1400, PSNR: 26.365646362304688
2024-04-22 19:42:48,986 - INFO - Iteration: 1500, PSNR: 26.955968856811523
2024-04-22 19:42:55,281 - INFO - Iteration: 1600, PSNR: 26.9794864654541
2024-04-22 19:43:01,590 - INFO - Iteration: 1700, PSNR: 27.080812454223633
2024-04-22 19:43:07,868 - INFO - Iteration: 1800, PSNR: 27.68695640563965
2024-04-22 19:43:14,427 - INFO - Iteration: 1900, PSNR: 27.43711280822754
2024-04-22 19:43:20,888 - INFO - Iteration: 2000, PSNR: 26.72739028930664
2024-04-22 19:43:27,423 - INFO - Iteration: 2100, PSNR: 27.5339298248291
2024-04-22 19:43:33,818 - INFO - Iteration: 2200, PSNR: 28.002490997314453
2024-04-22 19:43:40,126 - INFO - Iteration: 2300, PSNR: 28.53349494934082
2024-04-22 19:43:46,769 - INFO - Iteration: 2400, PSNR: 28.811962127685547
2024-04-22 19:43:53,066 - INFO - Iteration: 2500, PSNR: 28.307933807373047
2024-04-22 19:43:59,623 - INFO - Iteration: 2600, PSNR: 28.917400360107422
2024-04-22 19:44:05,714 - INFO - Iteration: 2700, PSNR: 28.169429779052734
2024-04-22 19:44:11,811 - INFO - Iteration: 2800, PSNR: 28.791229248046875
2024-04-22 19:44:17,942 - INFO - Iteration: 2900, PSNR: 29.17841339111328
2024-04-22 19:44:24,793 - INFO - Iteration: 3000, PSNR: 28.984439849853516
2024-04-22 19:44:31,047 - INFO - Iteration: 3100, PSNR: 28.976518630981445
2024-04-22 19:44:37,526 - INFO - Iteration: 3200, PSNR: 29.505788803100586
2024-04-22 19:44:44,407 - INFO - Iteration: 3300, PSNR: 28.547536849975586
2024-04-22 19:44:51,029 - INFO - Iteration: 3400, PSNR: 29.25257682800293
2024-04-22 19:44:57,436 - INFO - Iteration: 3500, PSNR: 29.44867706298828
2024-04-22 19:45:03,500 - INFO - Iteration: 3600, PSNR: 29.020938873291016
2024-04-22 19:45:10,014 - INFO - Iteration: 3700, PSNR: 30.273515701293945
2024-04-22 19:45:16,394 - INFO - Iteration: 3800, PSNR: 30.008508682250977
2024-04-22 19:45:23,174 - INFO - Iteration: 3900, PSNR: 29.923391342163086
2024-04-22 19:45:29,502 - INFO - Iteration: 4000, PSNR: 30.465757369995117
2024-04-22 19:45:36,120 - INFO - Iteration: 4100, PSNR: 30.234352111816406
2024-04-22 19:45:42,558 - INFO - Iteration: 4200, PSNR: 29.87073516845703
2024-04-22 19:45:49,114 - INFO - Iteration: 4300, PSNR: 29.528125762939453
2024-04-22 19:45:55,598 - INFO - Iteration: 4400, PSNR: 30.479816436767578
2024-04-22 19:46:02,114 - INFO - Iteration: 4500, PSNR: 29.63055419921875
2024-04-22 19:46:08,839 - INFO - Iteration: 4600, PSNR: 30.437023162841797
2024-04-22 19:46:15,195 - INFO - Iteration: 4700, PSNR: 30.1377010345459
2024-04-22 19:46:21,844 - INFO - Iteration: 4800, PSNR: 30.788448333740234
2024-04-22 19:46:28,457 - INFO - Iteration: 4900, PSNR: 31.36362075805664
2024-04-22 19:46:34,830 - INFO - Iteration: 5000, PSNR: 31.019996643066406
2024-04-22 19:46:41,384 - INFO - Iteration: 5100, PSNR: 30.853195190429688
2024-04-22 19:46:47,418 - INFO - Iteration: 5200, PSNR: 31.47117805480957
2024-04-22 19:46:53,694 - INFO - Iteration: 5300, PSNR: 30.832910537719727
2024-04-22 19:47:00,556 - INFO - Iteration: 5400, PSNR: 31.39003562927246
2024-04-22 19:47:06,787 - INFO - Iteration: 5500, PSNR: 30.94322395324707
2024-04-22 19:47:13,150 - INFO - Iteration: 5600, PSNR: 31.005428314208984
2024-04-22 19:47:19,678 - INFO - Iteration: 5700, PSNR: 31.335338592529297
2024-04-22 19:47:25,930 - INFO - Iteration: 5800, PSNR: 30.858144760131836
2024-04-22 19:47:32,187 - INFO - Iteration: 5900, PSNR: 30.882469177246094
2024-04-22 19:47:39,144 - INFO - Iteration: 6000, PSNR: 32.14613342285156
2024-04-22 19:47:45,452 - INFO - Iteration: 6100, PSNR: 30.792715072631836
2024-04-22 19:47:51,955 - INFO - Iteration: 6200, PSNR: 32.17377471923828
2024-04-22 19:47:58,581 - INFO - Iteration: 6300, PSNR: 31.20853042602539
2024-04-22 19:48:04,750 - INFO - Iteration: 6400, PSNR: 30.550968170166016
2024-04-22 19:48:11,316 - INFO - Iteration: 6500, PSNR: 30.657808303833008
2024-04-22 19:48:17,941 - INFO - Iteration: 6600, PSNR: 31.853958129882812
2024-04-22 19:48:23,958 - INFO - Iteration: 6700, PSNR: 32.1739616394043
2024-04-22 19:48:30,257 - INFO - Iteration: 6800, PSNR: 31.4859619140625
2024-04-22 19:48:36,881 - INFO - Iteration: 6900, PSNR: 32.30046081542969
2024-04-22 19:48:43,289 - INFO - Iteration: 7000, PSNR: 31.057918548583984
2024-04-22 19:48:50,326 - INFO - Iteration: 7100, PSNR: 31.565921783447266
2024-04-22 19:48:56,937 - INFO - Iteration: 7200, PSNR: 31.71006202697754
2024-04-22 19:49:03,411 - INFO - Iteration: 7300, PSNR: 31.530235290527344
2024-04-22 19:49:09,780 - INFO - Iteration: 7400, PSNR: 32.15938186645508
2024-04-22 19:49:16,834 - INFO - Iteration: 7500, PSNR: 32.06772994995117
2024-04-22 19:49:23,107 - INFO - Iteration: 7600, PSNR: 32.43074035644531
2024-04-22 19:49:29,884 - INFO - Iteration: 7700, PSNR: 32.53399658203125
2024-04-22 19:49:36,702 - INFO - Iteration: 7800, PSNR: 31.574966430664062
2024-04-22 19:49:43,323 - INFO - Iteration: 7900, PSNR: 31.855022430419922
2024-04-22 19:49:50,118 - INFO - Iteration: 8000, PSNR: 31.970809936523438
2024-04-22 19:49:56,346 - INFO - Iteration: 8100, PSNR: 31.43783187866211
2024-04-22 19:50:02,743 - INFO - Iteration: 8200, PSNR: 32.249671936035156
2024-04-22 19:50:09,179 - INFO - Iteration: 8300, PSNR: 32.01370620727539
2024-04-22 19:50:15,582 - INFO - Iteration: 8400, PSNR: 32.6338996887207
2024-04-22 19:50:22,340 - INFO - Iteration: 8500, PSNR: 33.11540603637695
2024-04-22 19:50:28,738 - INFO - Iteration: 8600, PSNR: 32.528717041015625
2024-04-22 19:50:35,173 - INFO - Iteration: 8700, PSNR: 32.83757019042969
2024-04-22 19:50:41,703 - INFO - Iteration: 8800, PSNR: 32.56878662109375
2024-04-22 19:50:48,101 - INFO - Iteration: 8900, PSNR: 32.1912841796875
2024-04-22 19:50:54,415 - INFO - Iteration: 9000, PSNR: 32.18058776855469
2024-04-22 19:51:00,583 - INFO - Iteration: 9100, PSNR: 31.50535774230957
2024-04-22 19:51:07,115 - INFO - Iteration: 9200, PSNR: 31.74574089050293
2024-04-22 19:51:13,448 - INFO - Iteration: 9300, PSNR: 32.468326568603516
2024-04-22 19:51:19,621 - INFO - Iteration: 9400, PSNR: 31.97152328491211
2024-04-22 19:51:26,096 - INFO - Iteration: 9500, PSNR: 32.88776779174805
2024-04-22 19:51:32,652 - INFO - Iteration: 9600, PSNR: 32.06614303588867
2024-04-22 19:51:38,973 - INFO - Iteration: 9700, PSNR: 32.30042266845703
2024-04-22 19:51:45,278 - INFO - Iteration: 9800, PSNR: 31.041828155517578
2024-04-22 19:51:51,784 - INFO - Iteration: 9900, PSNR: 32.34716033935547
2024-04-22 19:51:58,501 - INFO - Iteration: 10000, PSNR: 32.748870849609375
2024-04-22 19:52:04,788 - INFO - Iteration: 10100, PSNR: 32.4110107421875
2024-04-22 19:52:11,246 - INFO - Iteration: 10200, PSNR: 32.96929168701172
2024-04-22 19:52:17,430 - INFO - Iteration: 10300, PSNR: 32.83102798461914
2024-04-22 19:52:23,904 - INFO - Iteration: 10400, PSNR: 32.770301818847656
2024-04-22 19:52:30,300 - INFO - Iteration: 10500, PSNR: 32.73190689086914
2024-04-22 19:52:36,599 - INFO - Iteration: 10600, PSNR: 32.668907165527344
2024-04-22 19:52:43,496 - INFO - Iteration: 10700, PSNR: 32.79861068725586
2024-04-22 19:52:49,805 - INFO - Iteration: 10800, PSNR: 32.345977783203125
2024-04-22 19:52:56,359 - INFO - Iteration: 10900, PSNR: 32.530609130859375
2024-04-22 19:53:03,145 - INFO - Iteration: 11000, PSNR: 32.92127990722656
2024-04-22 19:53:09,415 - INFO - Iteration: 11100, PSNR: 33.15074920654297
2024-04-22 19:53:15,926 - INFO - Iteration: 11200, PSNR: 32.918785095214844
2024-04-22 19:53:22,343 - INFO - Iteration: 11300, PSNR: 33.33753967285156
2024-04-22 19:53:28,925 - INFO - Iteration: 11400, PSNR: 33.432716369628906
2024-04-22 19:53:34,991 - INFO - Iteration: 11500, PSNR: 33.2617073059082
2024-04-22 19:53:41,787 - INFO - Iteration: 11600, PSNR: 33.030391693115234
2024-04-22 19:53:48,227 - INFO - Iteration: 11700, PSNR: 32.096282958984375
2024-04-22 19:53:54,664 - INFO - Iteration: 11800, PSNR: 32.926422119140625
2024-04-22 19:54:01,226 - INFO - Iteration: 11900, PSNR: 32.75216293334961
2024-04-22 19:54:08,222 - INFO - Iteration: 12000, PSNR: 32.881446838378906
2024-04-22 19:54:14,611 - INFO - Iteration: 12100, PSNR: 33.707759857177734
2024-04-22 19:54:21,097 - INFO - Iteration: 12200, PSNR: 31.870615005493164
2024-04-22 19:54:27,442 - INFO - Iteration: 12300, PSNR: 32.29151916503906
2024-04-22 19:54:33,964 - INFO - Iteration: 12400, PSNR: 32.75320053100586
2024-04-22 19:54:40,224 - INFO - Iteration: 12500, PSNR: 32.724388122558594
2024-04-22 19:54:46,520 - INFO - Iteration: 12600, PSNR: 32.97077941894531
2024-04-22 19:54:53,210 - INFO - Iteration: 12700, PSNR: 33.343421936035156
2024-04-22 19:54:59,560 - INFO - Iteration: 12800, PSNR: 32.96076965332031
2024-04-22 19:55:05,902 - INFO - Iteration: 12900, PSNR: 33.389259338378906
2024-04-22 19:55:12,315 - INFO - Iteration: 13000, PSNR: 33.335052490234375
2024-04-22 19:55:18,369 - INFO - Iteration: 13100, PSNR: 33.58599090576172
2024-04-22 19:55:24,523 - INFO - Iteration: 13200, PSNR: 33.242332458496094
2024-04-22 19:55:30,895 - INFO - Iteration: 13300, PSNR: 33.606571197509766
2024-04-22 19:55:37,080 - INFO - Iteration: 13400, PSNR: 33.449825286865234
