2024-04-22 22:19:52,821 - INFO - ***STARTING***
2024-04-22 22:19:54,609 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 22:19:55,462 - INFO - Iteration: 0, PSNR: 16.527082443237305
2024-04-22 22:20:05,618 - INFO - Iteration: 100, PSNR: 16.42436408996582
2024-04-22 22:20:15,846 - INFO - Iteration: 200, PSNR: 20.184093475341797
2024-04-22 22:20:25,717 - INFO - Iteration: 300, PSNR: 20.832826614379883
2024-04-22 22:20:35,583 - INFO - Iteration: 400, PSNR: 22.10645294189453
2024-04-22 22:20:45,275 - INFO - Iteration: 500, PSNR: 22.6929874420166
2024-04-22 22:20:55,422 - INFO - Iteration: 600, PSNR: 23.07784652709961
2024-04-22 22:21:05,343 - INFO - Iteration: 700, PSNR: 23.061960220336914
2024-04-22 22:21:15,045 - INFO - Iteration: 800, PSNR: 23.110431671142578
2024-04-22 22:21:25,021 - INFO - Iteration: 900, PSNR: 23.40825843811035
2024-04-22 22:21:35,515 - INFO - Iteration: 1000, PSNR: 23.294940948486328
2024-04-22 22:21:45,399 - INFO - Iteration: 1100, PSNR: 23.240489959716797
2024-04-22 22:21:55,446 - INFO - Iteration: 1200, PSNR: 23.191055297851562
2024-04-22 22:22:05,262 - INFO - Iteration: 1300, PSNR: 23.626888275146484
2024-04-22 22:22:15,443 - INFO - Iteration: 1400, PSNR: 23.843963623046875
2024-04-22 22:22:25,246 - INFO - Iteration: 1500, PSNR: 23.829391479492188
2024-04-22 22:22:35,410 - INFO - Iteration: 1600, PSNR: 23.86292266845703
2024-04-22 22:22:45,334 - INFO - Iteration: 1700, PSNR: 24.015291213989258
2024-04-22 22:22:55,415 - INFO - Iteration: 1800, PSNR: 24.518402099609375
2024-04-22 22:23:05,506 - INFO - Iteration: 1900, PSNR: 24.174835205078125
2024-04-22 22:23:15,684 - INFO - Iteration: 2000, PSNR: 22.654159545898438
2024-04-22 22:23:25,839 - INFO - Iteration: 2100, PSNR: 24.225021362304688
2024-04-22 22:23:35,941 - INFO - Iteration: 2200, PSNR: 24.861013412475586
2024-04-22 22:23:46,046 - INFO - Iteration: 2300, PSNR: 24.642498016357422
2024-04-22 22:23:54,792 - INFO - Iteration: 2400, PSNR: 24.126190185546875
2024-04-22 22:24:03,030 - INFO - Iteration: 2500, PSNR: 24.5008544921875
2024-04-22 22:24:11,440 - INFO - Iteration: 2600, PSNR: 24.56731605529785
2024-04-22 22:24:19,834 - INFO - Iteration: 2700, PSNR: 25.442941665649414
2024-04-22 22:24:28,197 - INFO - Iteration: 2800, PSNR: 25.121868133544922
2024-04-22 22:24:36,684 - INFO - Iteration: 2900, PSNR: 24.370521545410156
2024-04-22 22:24:45,340 - INFO - Iteration: 3000, PSNR: 25.39874267578125
2024-04-22 22:24:53,736 - INFO - Iteration: 3100, PSNR: 25.3383731842041
2024-04-22 22:25:02,362 - INFO - Iteration: 3200, PSNR: 25.162273406982422
2024-04-22 22:25:10,701 - INFO - Iteration: 3300, PSNR: 24.822338104248047
2024-04-22 22:25:19,041 - INFO - Iteration: 3400, PSNR: 25.550777435302734
2024-04-22 22:25:27,643 - INFO - Iteration: 3500, PSNR: 25.693378448486328
2024-04-22 22:25:36,158 - INFO - Iteration: 3600, PSNR: 25.64898681640625
2024-04-22 22:25:44,606 - INFO - Iteration: 3700, PSNR: 25.326126098632812
2024-04-22 22:25:53,106 - INFO - Iteration: 3800, PSNR: 24.993534088134766
2024-04-22 22:26:01,369 - INFO - Iteration: 3900, PSNR: 26.148231506347656
2024-04-22 22:26:10,094 - INFO - Iteration: 4000, PSNR: 26.22986602783203
2024-04-22 22:26:18,642 - INFO - Iteration: 4100, PSNR: 25.691261291503906
2024-04-22 22:26:26,976 - INFO - Iteration: 4200, PSNR: 26.376955032348633
2024-04-22 22:26:35,579 - INFO - Iteration: 4300, PSNR: 25.973602294921875
2024-04-22 22:26:44,081 - INFO - Iteration: 4400, PSNR: 26.312828063964844
2024-04-22 22:26:52,506 - INFO - Iteration: 4500, PSNR: 25.633514404296875
2024-04-22 22:27:01,162 - INFO - Iteration: 4600, PSNR: 26.39621353149414
2024-04-22 22:27:09,690 - INFO - Iteration: 4700, PSNR: 26.889726638793945
2024-04-22 22:27:18,212 - INFO - Iteration: 4800, PSNR: 25.709880828857422
2024-04-22 22:27:26,695 - INFO - Iteration: 4900, PSNR: 26.47341537475586
2024-04-22 22:27:35,380 - INFO - Iteration: 5000, PSNR: 25.802518844604492
2024-04-22 22:27:43,762 - INFO - Iteration: 5100, PSNR: 26.028173446655273
2024-04-22 22:27:52,284 - INFO - Iteration: 5200, PSNR: 26.485769271850586
2024-04-22 22:28:00,795 - INFO - Iteration: 5300, PSNR: 26.277324676513672
2024-04-22 22:28:09,293 - INFO - Iteration: 5400, PSNR: 26.938682556152344
2024-04-22 22:28:17,640 - INFO - Iteration: 5500, PSNR: 26.68635368347168
2024-04-22 22:28:26,084 - INFO - Iteration: 5600, PSNR: 25.85055160522461
2024-04-22 22:28:34,440 - INFO - Iteration: 5700, PSNR: 26.790016174316406
2024-04-22 22:28:43,244 - INFO - Iteration: 5800, PSNR: 26.294296264648438
2024-04-22 22:28:51,849 - INFO - Iteration: 5900, PSNR: 27.026905059814453
2024-04-22 22:29:00,552 - INFO - Iteration: 6000, PSNR: 26.700782775878906
2024-04-22 22:29:08,859 - INFO - Iteration: 6100, PSNR: 26.460662841796875
2024-04-22 22:29:17,298 - INFO - Iteration: 6200, PSNR: 26.627099990844727
2024-04-22 22:29:25,635 - INFO - Iteration: 6300, PSNR: 26.23086166381836
2024-04-22 22:29:33,985 - INFO - Iteration: 6400, PSNR: 26.99305534362793
2024-04-22 22:29:42,377 - INFO - Iteration: 6500, PSNR: 26.94820213317871
2024-04-22 22:29:50,790 - INFO - Iteration: 6600, PSNR: 26.961074829101562
2024-04-22 22:29:59,221 - INFO - Iteration: 6700, PSNR: 26.62905502319336
2024-04-22 22:30:07,913 - INFO - Iteration: 6800, PSNR: 26.974393844604492
2024-04-22 22:30:16,164 - INFO - Iteration: 6900, PSNR: 26.68159294128418
2024-04-22 22:30:24,848 - INFO - Iteration: 7000, PSNR: 26.895526885986328
2024-04-22 22:30:33,349 - INFO - Iteration: 7100, PSNR: 27.148502349853516
