2024-04-28 22:21:44,018 - INFO - ***STARTING***
2024-04-28 22:21:48,003 - INFO - Started processing model
2024-04-28 22:21:49,437 - INFO - Iteration: 0, PSNR: 12.804082870483398
2024-04-28 22:22:03,417 - INFO - Iteration: 100, PSNR: 18.92254638671875
2024-04-28 22:22:16,712 - INFO - Iteration: 200, PSNR: 20.757963180541992
2024-04-28 22:22:32,017 - INFO - Iteration: 300, PSNR: 21.1632137298584
2024-04-28 22:22:48,454 - INFO - Iteration: 400, PSNR: 21.466934204101562
2024-04-28 22:23:03,617 - INFO - Iteration: 500, PSNR: 22.05836296081543
2024-04-28 22:23:17,522 - INFO - Iteration: 600, PSNR: 22.246551513671875
2024-04-28 22:23:30,175 - INFO - Iteration: 700, PSNR: 22.01693344116211
2024-04-28 22:23:41,961 - INFO - Iteration: 800, PSNR: 22.49312400817871
2024-04-28 22:23:55,197 - INFO - Iteration: 900, PSNR: 22.722349166870117
2024-04-28 22:24:09,080 - INFO - Iteration: 1000, PSNR: 21.991289138793945
2024-04-28 22:24:22,877 - INFO - Iteration: 1100, PSNR: 23.745615005493164
2024-04-28 22:24:35,016 - INFO - Iteration: 1200, PSNR: 23.80795669555664
2024-04-28 22:24:47,452 - INFO - Iteration: 1300, PSNR: 23.204486846923828
2024-04-28 22:25:00,502 - INFO - Iteration: 1400, PSNR: 23.631519317626953
2024-04-28 22:25:16,108 - INFO - Iteration: 1500, PSNR: 21.730661392211914
2024-04-28 22:25:33,429 - INFO - Iteration: 1600, PSNR: 24.30335807800293
2024-04-28 22:25:49,435 - INFO - Iteration: 1700, PSNR: 23.267440795898438
2024-04-28 22:26:05,605 - INFO - Iteration: 1800, PSNR: 24.097599029541016
2024-04-28 22:26:21,917 - INFO - Iteration: 1900, PSNR: 24.457273483276367
2024-04-28 22:26:38,237 - INFO - Iteration: 2000, PSNR: 24.187868118286133
2024-04-28 22:26:54,921 - INFO - Iteration: 2100, PSNR: 24.26041603088379
2024-04-28 22:27:11,404 - INFO - Iteration: 2200, PSNR: 24.14426040649414
2024-04-28 22:27:29,255 - INFO - Iteration: 2300, PSNR: 23.501026153564453
2024-04-28 22:27:46,374 - INFO - Iteration: 2400, PSNR: 25.14681625366211
2024-04-28 22:28:04,035 - INFO - Iteration: 2500, PSNR: 24.438915252685547
2024-04-28 22:28:21,261 - INFO - Iteration: 2600, PSNR: 24.768352508544922
2024-04-28 22:28:38,704 - INFO - Iteration: 2700, PSNR: 24.89700698852539
2024-04-28 22:28:55,394 - INFO - Iteration: 2800, PSNR: 24.743228912353516
