2024-04-28 22:16:09,789 - INFO - ***STARTING***
2024-04-28 22:16:17,062 - INFO - Started processing model
2024-04-28 22:16:19,747 - INFO - Iteration: 0, PSNR: 10.776206970214844
2024-04-28 22:16:33,236 - INFO - Iteration: 100, PSNR: 18.96847915649414
2024-04-28 22:16:41,829 - INFO - Iteration: 200, PSNR: 20.09981346130371
2024-04-28 22:16:50,646 - INFO - Iteration: 300, PSNR: 21.73244285583496
2024-04-28 22:17:03,514 - INFO - Iteration: 400, PSNR: 23.157978057861328
2024-04-28 22:17:11,842 - INFO - Iteration: 500, PSNR: 24.743358612060547
2024-04-28 22:17:21,709 - INFO - Iteration: 600, PSNR: 22.216293334960938
2024-04-28 22:17:31,327 - INFO - Iteration: 700, PSNR: 24.39752769470215
2024-04-28 22:17:41,600 - INFO - Iteration: 800, PSNR: 24.779651641845703
2024-04-28 22:17:51,388 - INFO - Iteration: 900, PSNR: 25.313201904296875
2024-04-28 22:18:02,218 - INFO - Iteration: 1000, PSNR: 25.7514591217041
2024-04-28 22:18:11,942 - INFO - Iteration: 1100, PSNR: 26.375341415405273
2024-04-28 22:18:21,666 - INFO - Iteration: 1200, PSNR: 27.74725914001465
2024-04-28 22:18:30,706 - INFO - Iteration: 1300, PSNR: 26.745023727416992
2024-04-28 22:18:40,091 - INFO - Iteration: 1400, PSNR: 28.223766326904297
2024-04-28 22:18:50,694 - INFO - Iteration: 1500, PSNR: 28.000389099121094
2024-04-28 22:19:00,132 - INFO - Iteration: 1600, PSNR: 28.68136215209961
2024-04-28 22:19:09,578 - INFO - Iteration: 1700, PSNR: 28.578369140625
2024-04-28 22:19:22,262 - INFO - Iteration: 1800, PSNR: 28.59341812133789
2024-04-28 22:19:35,215 - INFO - Iteration: 1900, PSNR: 29.271331787109375
2024-04-28 22:19:47,862 - INFO - Iteration: 2000, PSNR: 29.336366653442383
2024-04-28 22:20:00,619 - INFO - Iteration: 2100, PSNR: 29.141462326049805
2024-04-28 22:20:12,080 - INFO - Iteration: 2200, PSNR: 30.149276733398438
2024-04-28 22:20:23,358 - INFO - Iteration: 2300, PSNR: 29.647619247436523
2024-04-28 22:20:33,833 - INFO - Iteration: 2400, PSNR: 30.540382385253906
2024-04-28 22:20:43,488 - INFO - Iteration: 2500, PSNR: 30.58614730834961
2024-04-28 22:20:53,463 - INFO - Iteration: 2600, PSNR: 30.003292083740234
2024-04-28 22:21:03,282 - INFO - Iteration: 2700, PSNR: 30.915334701538086
2024-04-28 22:21:14,549 - INFO - Iteration: 2800, PSNR: 31.409637451171875
2024-04-28 22:21:24,305 - INFO - Iteration: 2900, PSNR: 31.404739379882812
2024-04-28 22:21:34,038 - INFO - Iteration: 3000, PSNR: 31.23476791381836
2024-04-28 22:21:44,373 - INFO - Iteration: 3100, PSNR: 31.297828674316406
2024-04-28 22:21:56,736 - INFO - Iteration: 3200, PSNR: 31.917360305786133
2024-04-28 22:22:09,580 - INFO - Iteration: 3300, PSNR: 30.847354888916016
