2024-04-26 22:01:33,982 - INFO - ***STARTING***
2024-04-26 22:23:40,441 - INFO - ***STARTING***
2024-04-26 22:23:41,817 - INFO - Started processing model
2024-04-26 22:23:42,527 - INFO - Iteration: 0, PSNR: 11.349688529968262
2024-04-26 22:23:47,555 - INFO - Iteration: 100, PSNR: 19.895099639892578
2024-04-26 22:23:52,554 - INFO - Iteration: 200, PSNR: 21.659353256225586
2024-04-26 22:23:57,587 - INFO - Iteration: 300, PSNR: 21.43760871887207
2024-04-26 22:24:02,638 - INFO - Iteration: 400, PSNR: 22.47879409790039
2024-04-26 22:24:07,574 - INFO - Iteration: 500, PSNR: 24.59595489501953
2024-04-26 22:24:12,570 - INFO - Iteration: 600, PSNR: 24.60080909729004
2024-04-26 22:24:17,666 - INFO - Iteration: 700, PSNR: 25.21137046813965
2024-04-26 22:24:22,683 - INFO - Iteration: 800, PSNR: 24.9349422454834
2024-04-26 22:24:27,990 - INFO - Iteration: 900, PSNR: 25.745553970336914
2024-04-26 22:24:33,157 - INFO - Iteration: 1000, PSNR: 26.077152252197266
2024-04-26 22:24:38,223 - INFO - Iteration: 1100, PSNR: 26.525516510009766
2024-04-26 22:24:43,191 - INFO - Iteration: 1200, PSNR: 25.173255920410156
2024-04-26 22:24:48,132 - INFO - Iteration: 1300, PSNR: 26.840999603271484
2024-04-26 22:24:53,359 - INFO - Iteration: 1400, PSNR: 26.365646362304688
2024-04-26 22:24:58,396 - INFO - Iteration: 1500, PSNR: 26.955968856811523
2024-04-26 22:25:03,541 - INFO - Iteration: 1600, PSNR: 26.9794864654541
2024-04-26 22:25:08,589 - INFO - Iteration: 1700, PSNR: 27.080812454223633
2024-04-26 22:25:13,655 - INFO - Iteration: 1800, PSNR: 27.68695640563965
2024-04-26 22:25:18,758 - INFO - Iteration: 1900, PSNR: 27.43711280822754
2024-04-26 22:25:24,222 - INFO - Iteration: 2000, PSNR: 26.72739028930664
2024-04-26 22:25:29,413 - INFO - Iteration: 2100, PSNR: 27.5339298248291
2024-04-26 22:25:34,557 - INFO - Iteration: 2200, PSNR: 28.002490997314453
2024-04-26 22:25:39,674 - INFO - Iteration: 2300, PSNR: 28.53349494934082
2024-04-26 22:25:44,716 - INFO - Iteration: 2400, PSNR: 28.811962127685547
2024-04-26 22:25:49,841 - INFO - Iteration: 2500, PSNR: 28.307933807373047
2024-04-26 22:25:55,113 - INFO - Iteration: 2600, PSNR: 28.917400360107422
2024-04-26 22:26:00,135 - INFO - Iteration: 2700, PSNR: 28.169429779052734
2024-04-26 22:26:05,177 - INFO - Iteration: 2800, PSNR: 28.791229248046875
2024-04-26 22:26:10,365 - INFO - Iteration: 2900, PSNR: 29.17841339111328
2024-04-26 22:26:15,553 - INFO - Iteration: 3000, PSNR: 28.984439849853516
