2024-04-28 22:13:31,849 - INFO - ***STARTING***
2024-04-28 22:13:39,971 - INFO - Started processing model
2024-04-28 22:13:42,504 - INFO - Iteration: 0, PSNR: 10.059188842773438
2024-04-28 22:13:55,570 - INFO - Iteration: 100, PSNR: 14.733671188354492
2024-04-28 22:14:08,404 - INFO - Iteration: 200, PSNR: 15.083581924438477
2024-04-28 22:14:21,576 - INFO - Iteration: 300, PSNR: 17.60411834716797
2024-04-28 22:14:34,957 - INFO - Iteration: 400, PSNR: 18.38509750366211
2024-04-28 22:14:47,969 - INFO - Iteration: 500, PSNR: 22.119808197021484
2024-04-28 22:15:02,958 - INFO - Iteration: 600, PSNR: 21.04022216796875
2024-04-28 22:15:16,528 - INFO - Iteration: 700, PSNR: 21.636011123657227
2024-04-28 22:15:29,896 - INFO - Iteration: 800, PSNR: 21.510412216186523
2024-04-28 22:15:44,164 - INFO - Iteration: 900, PSNR: 23.772151947021484
2024-04-28 22:16:00,920 - INFO - Iteration: 1000, PSNR: 23.654376983642578
2024-04-28 22:16:18,890 - INFO - Iteration: 1100, PSNR: 23.838369369506836
2024-04-28 22:16:35,639 - INFO - Iteration: 1200, PSNR: 24.950563430786133
2024-04-28 22:16:49,087 - INFO - Iteration: 1300, PSNR: 24.73659896850586
2024-04-28 22:17:03,475 - INFO - Iteration: 1400, PSNR: 24.457504272460938
2024-04-28 22:17:15,490 - INFO - Iteration: 1500, PSNR: 24.42732810974121
2024-04-28 22:17:29,057 - INFO - Iteration: 1600, PSNR: 25.9903564453125
2024-04-28 22:17:42,311 - INFO - Iteration: 1700, PSNR: 24.906749725341797
2024-04-28 22:17:56,141 - INFO - Iteration: 1800, PSNR: 25.473628997802734
2024-04-28 22:18:08,739 - INFO - Iteration: 1900, PSNR: 26.479652404785156
2024-04-28 22:18:22,902 - INFO - Iteration: 2000, PSNR: 26.95376205444336
2024-04-28 22:18:36,593 - INFO - Iteration: 2100, PSNR: 27.160377502441406
2024-04-28 22:18:50,191 - INFO - Iteration: 2200, PSNR: 27.41543197631836
2024-04-28 22:19:03,041 - INFO - Iteration: 2300, PSNR: 27.009593963623047
2024-04-28 22:19:06,219 - INFO - ***STARTING***
2024-04-28 22:19:10,206 - INFO - Started processing model
2024-04-28 22:19:12,367 - INFO - Iteration: 0, PSNR: 10.059188842773438
2024-04-28 22:19:16,827 - INFO - Iteration: 2400, PSNR: 26.58573341369629
2024-04-28 22:19:25,125 - INFO - Iteration: 100, PSNR: 14.733671188354492
2024-04-28 22:19:31,492 - INFO - Iteration: 2500, PSNR: 27.10097885131836
2024-04-28 22:19:39,141 - INFO - Iteration: 200, PSNR: 15.083581924438477
2024-04-28 22:19:44,846 - INFO - Iteration: 2600, PSNR: 27.61394500732422
2024-04-28 22:19:52,262 - INFO - Iteration: 300, PSNR: 17.60411834716797
2024-04-28 22:19:57,741 - INFO - Iteration: 2700, PSNR: 27.570053100585938
2024-04-28 22:20:05,170 - INFO - Iteration: 400, PSNR: 18.38509750366211
2024-04-28 22:20:11,948 - INFO - Iteration: 2800, PSNR: 27.89263916015625
2024-04-28 22:20:25,768 - INFO - Iteration: 2900, PSNR: 27.979049682617188
2024-04-28 22:20:39,890 - INFO - Iteration: 3000, PSNR: 27.448562622070312
2024-04-28 22:20:53,353 - INFO - Iteration: 3100, PSNR: 27.5096435546875
2024-04-28 22:21:06,397 - INFO - Iteration: 3200, PSNR: 27.22027015686035
2024-04-28 22:21:20,438 - INFO - Iteration: 3300, PSNR: 29.097736358642578
2024-04-28 22:21:33,834 - INFO - Iteration: 3400, PSNR: 28.415664672851562
2024-04-28 22:21:48,513 - INFO - Iteration: 3500, PSNR: 27.855228424072266
2024-04-28 22:22:02,360 - INFO - Iteration: 3600, PSNR: 28.51443862915039
2024-04-28 22:22:16,543 - INFO - Iteration: 3700, PSNR: 28.889564514160156
2024-04-28 22:22:33,835 - INFO - Iteration: 3800, PSNR: 26.000629425048828
2024-04-28 22:22:54,266 - INFO - Iteration: 3900, PSNR: 28.146747589111328
2024-04-28 22:23:12,746 - INFO - Iteration: 4000, PSNR: 28.375967025756836
2024-04-28 22:23:27,301 - INFO - Iteration: 4100, PSNR: 29.717330932617188
2024-04-28 22:23:41,394 - INFO - Iteration: 4200, PSNR: 29.259506225585938
2024-04-28 22:23:55,525 - INFO - Iteration: 4300, PSNR: 29.81741714477539
2024-04-28 22:24:09,246 - INFO - Iteration: 4400, PSNR: 29.121971130371094
2024-04-28 22:24:22,802 - INFO - Iteration: 4500, PSNR: 29.43088150024414
2024-04-28 22:24:36,525 - INFO - Iteration: 4600, PSNR: 29.632457733154297
2024-04-28 22:24:50,738 - INFO - Iteration: 4700, PSNR: 30.003433227539062
2024-04-28 22:25:03,884 - INFO - Iteration: 4800, PSNR: 30.284440994262695
2024-04-28 22:25:18,656 - INFO - Iteration: 4900, PSNR: 30.64789581298828
2024-04-28 22:25:32,115 - INFO - Iteration: 5000, PSNR: 29.754947662353516
2024-04-28 22:25:46,288 - INFO - Iteration: 5100, PSNR: 30.511215209960938
2024-04-28 22:25:59,689 - INFO - Iteration: 5200, PSNR: 29.92243003845215
2024-04-28 22:26:13,457 - INFO - Iteration: 5300, PSNR: 28.922054290771484
