2024-04-28 20:06:29,726 - INFO - ***STARTING***
2024-04-28 20:06:37,400 - INFO - Started processing model
2024-04-28 20:06:40,379 - INFO - Iteration: 0, PSNR: 16.527082443237305
2024-04-28 20:06:50,881 - INFO - Iteration: 100, PSNR: 16.42436408996582
2024-04-28 20:07:04,112 - INFO - Iteration: 200, PSNR: 20.184093475341797
2024-04-28 20:07:16,822 - INFO - Iteration: 300, PSNR: 20.832826614379883
2024-04-28 20:07:27,377 - INFO - Iteration: 400, PSNR: 22.10645294189453
2024-04-28 20:07:42,113 - INFO - Iteration: 500, PSNR: 22.6929874420166
2024-04-28 20:07:53,814 - INFO - Iteration: 600, PSNR: 23.07784652709961
2024-04-28 20:08:04,056 - INFO - Iteration: 700, PSNR: 23.061960220336914
2024-04-28 20:08:14,327 - INFO - Iteration: 800, PSNR: 23.110431671142578
2024-04-28 20:08:26,184 - INFO - Iteration: 900, PSNR: 23.40825843811035
2024-04-28 20:08:36,962 - INFO - Iteration: 1000, PSNR: 23.294940948486328
2024-04-28 20:08:49,191 - INFO - Iteration: 1100, PSNR: 23.240489959716797
2024-04-28 20:09:01,729 - INFO - Iteration: 1200, PSNR: 23.191055297851562
2024-04-28 20:09:12,435 - INFO - Iteration: 1300, PSNR: 23.626888275146484
2024-04-28 20:09:23,912 - INFO - Iteration: 1400, PSNR: 23.843963623046875
2024-04-28 20:09:34,299 - INFO - Iteration: 1500, PSNR: 23.829391479492188
2024-04-28 20:09:45,078 - INFO - Iteration: 1600, PSNR: 23.86292266845703
2024-04-28 20:09:55,063 - INFO - Iteration: 1700, PSNR: 24.015291213989258
2024-04-28 20:10:06,007 - INFO - Iteration: 1800, PSNR: 24.518402099609375
2024-04-28 20:10:16,555 - INFO - Iteration: 1900, PSNR: 24.174835205078125
2024-04-28 20:10:27,120 - INFO - Iteration: 2000, PSNR: 22.654159545898438
2024-04-28 20:10:37,592 - INFO - Iteration: 2100, PSNR: 24.225021362304688
2024-04-28 20:10:48,447 - INFO - Iteration: 2200, PSNR: 24.861013412475586
2024-04-28 20:10:59,194 - INFO - Iteration: 2300, PSNR: 24.642498016357422
2024-04-28 20:11:11,392 - INFO - Iteration: 2400, PSNR: 24.126190185546875
2024-04-28 20:11:22,135 - INFO - Iteration: 2500, PSNR: 24.5008544921875
2024-04-28 20:11:32,025 - INFO - Iteration: 2600, PSNR: 24.56731605529785
2024-04-28 20:11:43,889 - INFO - Iteration: 2700, PSNR: 25.442941665649414
2024-04-28 20:11:54,909 - INFO - Iteration: 2800, PSNR: 25.121868133544922
2024-04-28 20:12:04,956 - INFO - Iteration: 2900, PSNR: 24.370521545410156
2024-04-28 20:12:15,600 - INFO - Iteration: 3000, PSNR: 25.39874267578125
2024-04-28 20:12:26,507 - INFO - Iteration: 3100, PSNR: 25.3383731842041
2024-04-28 20:12:37,955 - INFO - Iteration: 3200, PSNR: 25.162273406982422
2024-04-28 20:12:48,866 - INFO - Iteration: 3300, PSNR: 24.822338104248047
2024-04-28 20:12:59,398 - INFO - Iteration: 3400, PSNR: 25.550777435302734
2024-04-28 20:13:11,612 - INFO - Iteration: 3500, PSNR: 25.693378448486328
2024-04-28 20:13:22,969 - INFO - Iteration: 3600, PSNR: 25.64898681640625
2024-04-28 20:13:35,597 - INFO - Iteration: 3700, PSNR: 25.326126098632812
2024-04-28 20:13:51,765 - INFO - Iteration: 3800, PSNR: 24.993534088134766
2024-04-28 20:14:07,967 - INFO - Iteration: 3900, PSNR: 26.148231506347656
2024-04-28 20:14:24,768 - INFO - Iteration: 4000, PSNR: 26.22986602783203
2024-04-28 20:14:41,421 - INFO - Iteration: 4100, PSNR: 25.691261291503906
2024-04-28 20:15:03,338 - INFO - Iteration: 4200, PSNR: 26.376955032348633
2024-04-28 20:15:23,601 - INFO - Iteration: 4300, PSNR: 25.973602294921875
2024-04-28 20:15:45,167 - INFO - Iteration: 4400, PSNR: 26.312828063964844
2024-04-28 20:16:01,107 - INFO - Iteration: 4500, PSNR: 25.633514404296875
2024-04-28 20:16:17,341 - INFO - Iteration: 4600, PSNR: 26.39621353149414
2024-04-28 20:16:33,054 - INFO - Iteration: 4700, PSNR: 26.889726638793945
2024-04-28 20:16:49,270 - INFO - Iteration: 4800, PSNR: 25.709880828857422
2024-04-28 20:17:05,024 - INFO - Iteration: 4900, PSNR: 26.47341537475586
2024-04-28 20:17:21,299 - INFO - Iteration: 5000, PSNR: 25.802518844604492
2024-04-28 20:17:37,492 - INFO - Iteration: 5100, PSNR: 26.028173446655273
2024-04-28 20:17:53,486 - INFO - Iteration: 5200, PSNR: 26.485769271850586
2024-04-28 20:18:09,091 - INFO - Iteration: 5300, PSNR: 26.277324676513672
2024-04-28 20:18:24,973 - INFO - Iteration: 5400, PSNR: 26.938682556152344
2024-04-28 20:18:40,747 - INFO - Iteration: 5500, PSNR: 26.68635368347168
2024-04-28 20:18:56,920 - INFO - Iteration: 5600, PSNR: 25.85055160522461
2024-04-28 20:19:12,886 - INFO - Iteration: 5700, PSNR: 26.790016174316406
2024-04-28 20:19:29,122 - INFO - Iteration: 5800, PSNR: 26.294296264648438
2024-04-28 20:19:44,800 - INFO - Iteration: 5900, PSNR: 27.026905059814453
2024-04-28 20:20:01,247 - INFO - Iteration: 6000, PSNR: 26.700782775878906
2024-04-28 20:20:23,472 - INFO - Iteration: 6100, PSNR: 26.460662841796875
2024-04-28 20:20:43,864 - INFO - Iteration: 6200, PSNR: 26.627099990844727
2024-04-28 20:20:59,457 - INFO - Iteration: 6300, PSNR: 26.23086166381836
2024-04-28 20:21:15,292 - INFO - Iteration: 6400, PSNR: 26.99305534362793
2024-04-28 20:21:30,741 - INFO - Iteration: 6500, PSNR: 26.94820213317871
2024-04-28 20:21:46,583 - INFO - Iteration: 6600, PSNR: 26.961074829101562
2024-04-28 20:22:02,155 - INFO - Iteration: 6700, PSNR: 26.62905502319336
2024-04-28 20:22:18,026 - INFO - Iteration: 6800, PSNR: 26.974393844604492
2024-04-28 20:22:34,096 - INFO - Iteration: 6900, PSNR: 26.68159294128418
2024-04-28 20:22:50,899 - INFO - Iteration: 7000, PSNR: 26.895526885986328
2024-04-28 20:23:06,932 - INFO - Iteration: 7100, PSNR: 27.148502349853516
2024-04-28 20:23:23,127 - INFO - Iteration: 7200, PSNR: 26.203916549682617
2024-04-28 20:23:39,378 - INFO - Iteration: 7300, PSNR: 26.82126235961914
2024-04-28 20:23:55,473 - INFO - Iteration: 7400, PSNR: 26.984262466430664
