2024-04-28 20:03:46,033 - INFO - ***STARTING***
2024-04-28 20:03:56,955 - INFO - Started processing model
2024-04-28 20:04:01,033 - INFO - Iteration: 0, PSNR: 13.778773307800293
2024-04-28 20:04:20,217 - INFO - Iteration: 100, PSNR: 17.032812118530273
2024-04-28 20:04:33,176 - INFO - Iteration: 200, PSNR: 25.524389266967773
2024-04-28 20:04:43,667 - INFO - Iteration: 300, PSNR: 25.27037811279297
2024-04-28 20:04:54,350 - INFO - Iteration: 400, PSNR: 27.25397491455078
2024-04-28 20:05:08,691 - INFO - Iteration: 500, PSNR: 27.600109100341797
2024-04-28 20:05:21,366 - INFO - Iteration: 600, PSNR: 27.270652770996094
2024-04-28 20:05:33,817 - INFO - Iteration: 700, PSNR: 28.196392059326172
2024-04-28 20:05:46,822 - INFO - Iteration: 800, PSNR: 27.048444747924805
2024-04-28 20:06:04,203 - INFO - Iteration: 900, PSNR: 28.261186599731445
2024-04-28 20:06:26,966 - INFO - Iteration: 1000, PSNR: 29.599834442138672
2024-04-28 20:06:44,132 - INFO - Iteration: 1100, PSNR: 29.189983367919922
2024-04-28 20:06:55,496 - INFO - Iteration: 1200, PSNR: 28.723657608032227
2024-04-28 20:07:09,889 - INFO - Iteration: 1300, PSNR: 29.824092864990234
2024-04-28 20:07:21,194 - INFO - Iteration: 1400, PSNR: 29.319494247436523
2024-04-28 20:07:33,386 - INFO - Iteration: 1500, PSNR: 29.412036895751953
2024-04-28 20:07:47,749 - INFO - Iteration: 1600, PSNR: 30.438461303710938
2024-04-28 20:07:58,543 - INFO - Iteration: 1700, PSNR: 29.543149948120117
2024-04-28 20:08:08,694 - INFO - Iteration: 1800, PSNR: 29.56805419921875
2024-04-28 20:08:18,918 - INFO - Iteration: 1900, PSNR: 29.11690902709961
2024-04-28 20:08:29,736 - INFO - Iteration: 2000, PSNR: 30.259925842285156
2024-04-28 20:08:41,108 - INFO - Iteration: 2100, PSNR: 30.106060028076172
2024-04-28 20:08:51,896 - INFO - Iteration: 2200, PSNR: 30.436323165893555
2024-04-28 20:09:04,377 - INFO - Iteration: 2300, PSNR: 30.429935455322266
2024-04-28 20:09:14,717 - INFO - Iteration: 2400, PSNR: 31.074607849121094
2024-04-28 20:09:26,210 - INFO - Iteration: 2500, PSNR: 31.1514892578125
2024-04-28 20:09:37,046 - INFO - Iteration: 2600, PSNR: 29.88478660583496
2024-04-28 20:09:47,885 - INFO - Iteration: 2700, PSNR: 30.737815856933594
2024-04-28 20:09:57,819 - INFO - Iteration: 2800, PSNR: 27.728290557861328
2024-04-28 20:10:09,252 - INFO - Iteration: 2900, PSNR: 30.495140075683594
2024-04-28 20:10:20,632 - INFO - Iteration: 3000, PSNR: 31.241952896118164
2024-04-28 20:10:32,031 - INFO - Iteration: 3100, PSNR: 31.03023910522461
2024-04-28 20:10:42,765 - INFO - Iteration: 3200, PSNR: 31.364334106445312
2024-04-28 20:10:52,923 - INFO - Iteration: 3300, PSNR: 31.086524963378906
2024-04-28 20:11:04,808 - INFO - Iteration: 3400, PSNR: 30.71314239501953
2024-04-28 20:11:16,266 - INFO - Iteration: 3500, PSNR: 30.941646575927734
2024-04-28 20:11:26,530 - INFO - Iteration: 3600, PSNR: 31.16362762451172
2024-04-28 20:11:37,822 - INFO - Iteration: 3700, PSNR: 29.853525161743164
2024-04-28 20:11:48,718 - INFO - Iteration: 3800, PSNR: 31.182947158813477
2024-04-28 20:11:59,631 - INFO - Iteration: 3900, PSNR: 31.041431427001953
2024-04-28 20:12:10,182 - INFO - Iteration: 4000, PSNR: 31.812437057495117
2024-04-28 20:12:21,240 - INFO - Iteration: 4100, PSNR: 31.91530418395996
2024-04-28 20:12:33,029 - INFO - Iteration: 4200, PSNR: 30.533845901489258
2024-04-28 20:12:43,600 - INFO - Iteration: 4300, PSNR: 31.336566925048828
2024-04-28 20:12:53,847 - INFO - Iteration: 4400, PSNR: 31.510223388671875
2024-04-28 20:13:04,363 - INFO - Iteration: 4500, PSNR: 31.978713989257812
2024-04-28 20:13:16,557 - INFO - Iteration: 4600, PSNR: 32.66762161254883
2024-04-28 20:13:28,186 - INFO - Iteration: 4700, PSNR: 31.55982208251953
2024-04-28 20:13:38,404 - INFO - Iteration: 4800, PSNR: 32.49265670776367
2024-04-28 20:13:50,467 - INFO - Iteration: 4900, PSNR: 32.853702545166016
2024-04-28 20:14:02,281 - INFO - Iteration: 5000, PSNR: 32.84977340698242
2024-04-28 20:14:13,878 - INFO - Iteration: 5100, PSNR: 32.21934127807617
2024-04-28 20:14:25,417 - INFO - Iteration: 5200, PSNR: 32.05546188354492
2024-04-28 20:14:36,396 - INFO - Iteration: 5300, PSNR: 32.84737014770508
2024-04-28 20:14:47,755 - INFO - Iteration: 5400, PSNR: 32.90314483642578
2024-04-28 20:15:05,260 - INFO - Iteration: 5500, PSNR: 32.32736587524414
2024-04-28 20:15:19,299 - INFO - Iteration: 5600, PSNR: 31.81797981262207
2024-04-28 20:15:33,493 - INFO - Iteration: 5700, PSNR: 32.89785385131836
2024-04-28 20:15:48,080 - INFO - Iteration: 5800, PSNR: 32.46012878417969
2024-04-28 20:15:59,018 - INFO - Iteration: 5900, PSNR: 33.32725524902344
2024-04-28 20:16:11,742 - INFO - Iteration: 6000, PSNR: 31.48749542236328
2024-04-28 20:16:23,111 - INFO - Iteration: 6100, PSNR: 31.641767501831055
2024-04-28 20:16:34,353 - INFO - Iteration: 6200, PSNR: 32.20134353637695
2024-04-28 20:16:46,394 - INFO - Iteration: 6300, PSNR: 32.08039474487305
2024-04-28 20:16:57,555 - INFO - Iteration: 6400, PSNR: 32.9599723815918
2024-04-28 20:17:12,631 - INFO - Iteration: 6500, PSNR: 33.19119644165039
2024-04-28 20:17:28,976 - INFO - Iteration: 6600, PSNR: 32.09923553466797
2024-04-28 20:17:44,921 - INFO - Iteration: 6700, PSNR: 33.08686065673828
2024-04-28 20:18:00,950 - INFO - Iteration: 6800, PSNR: 33.28704071044922
2024-04-28 20:18:17,040 - INFO - Iteration: 6900, PSNR: 33.41446304321289
2024-04-28 20:18:33,328 - INFO - Iteration: 7000, PSNR: 32.485443115234375
2024-04-28 20:18:49,634 - INFO - Iteration: 7100, PSNR: 32.16434097290039
2024-04-28 20:19:05,910 - INFO - Iteration: 7200, PSNR: 33.51217269897461
2024-04-28 20:19:22,009 - INFO - Iteration: 7300, PSNR: 32.5047721862793
2024-04-28 20:19:38,040 - INFO - Iteration: 7400, PSNR: 33.58457946777344
2024-04-28 20:19:54,221 - INFO - Iteration: 7500, PSNR: 33.87214279174805
2024-04-28 20:20:14,303 - INFO - Iteration: 7600, PSNR: 32.758060455322266
2024-04-28 20:20:35,473 - INFO - Iteration: 7700, PSNR: 33.409507751464844
2024-04-28 20:20:53,250 - INFO - Iteration: 7800, PSNR: 32.98475646972656
2024-04-28 20:21:09,428 - INFO - Iteration: 7900, PSNR: 33.3497200012207
2024-04-28 20:21:25,770 - INFO - Iteration: 8000, PSNR: 34.045738220214844
2024-04-28 20:21:41,662 - INFO - Iteration: 8100, PSNR: 33.49063491821289
2024-04-28 20:21:57,252 - INFO - Iteration: 8200, PSNR: 33.790626525878906
2024-04-28 20:22:13,014 - INFO - Iteration: 8300, PSNR: 33.60075759887695
2024-04-28 20:22:28,993 - INFO - Iteration: 8400, PSNR: 34.30712127685547
2024-04-28 20:22:45,329 - INFO - Iteration: 8500, PSNR: 33.468040466308594
2024-04-28 20:23:01,623 - INFO - Iteration: 8600, PSNR: 34.08992004394531
2024-04-28 20:23:18,176 - INFO - Iteration: 8700, PSNR: 34.73624801635742
2024-04-28 20:23:34,709 - INFO - Iteration: 8800, PSNR: 34.25380325317383
2024-04-28 20:23:50,806 - INFO - Iteration: 8900, PSNR: 32.48347473144531
2024-04-28 20:24:07,562 - INFO - Iteration: 9000, PSNR: 33.66410827636719
2024-04-28 20:24:24,151 - INFO - Iteration: 9100, PSNR: 33.9149169921875
2024-04-28 20:24:40,392 - INFO - Iteration: 9200, PSNR: 34.03001022338867
2024-04-28 20:24:56,543 - INFO - Iteration: 9300, PSNR: 34.47764587402344
