2024-04-22 23:12:49,072 - INFO - ***STARTING***
2024-04-22 23:14:29,044 - INFO - ***STARTING***
2024-04-22 23:14:30,770 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 23:15:40,755 - INFO - ***STARTING***
2024-04-22 23:15:42,286 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 23:19:33,288 - INFO - ***STARTING***
2024-04-22 23:19:35,438 - INFO - Started processing model with 4 early and 4 late layers for 1a2d2208f73d0531cec33e62192b66e5
2024-04-22 23:19:36,613 - INFO - Iteration: 0, PSNR: 15.846839904785156
2024-04-22 23:19:45,936 - INFO - Iteration: 100, PSNR: 20.762630462646484
2024-04-22 23:19:55,260 - INFO - Iteration: 200, PSNR: 19.955385208129883
2024-04-22 23:20:04,725 - INFO - Iteration: 300, PSNR: 20.807846069335938
2024-04-22 23:20:14,242 - INFO - Iteration: 400, PSNR: 21.791475296020508
2024-04-22 23:20:23,941 - INFO - Iteration: 500, PSNR: 22.388427734375
2024-04-22 23:20:32,877 - INFO - Iteration: 600, PSNR: 22.836994171142578
2024-04-22 23:20:42,261 - INFO - Iteration: 700, PSNR: 22.9914493560791
2024-04-22 23:20:51,302 - INFO - Iteration: 800, PSNR: 23.202011108398438
2024-04-22 23:21:00,313 - INFO - Iteration: 900, PSNR: 22.67315101623535
2024-04-22 23:21:10,270 - INFO - Iteration: 1000, PSNR: 23.611736297607422
2024-04-22 23:21:19,327 - INFO - Iteration: 1100, PSNR: 22.244422912597656
2024-04-22 23:21:28,133 - INFO - Iteration: 1200, PSNR: 23.638145446777344
2024-04-22 23:21:37,358 - INFO - Iteration: 1300, PSNR: 23.870681762695312
2024-04-22 23:21:46,654 - INFO - Iteration: 1400, PSNR: 24.091005325317383
2024-04-22 23:21:55,571 - INFO - Iteration: 1500, PSNR: 23.58107566833496
2024-04-22 23:22:04,419 - INFO - Iteration: 1600, PSNR: 23.551250457763672
2024-04-22 23:22:13,024 - INFO - Iteration: 1700, PSNR: 23.925430297851562
2024-04-22 23:22:22,141 - INFO - Iteration: 1800, PSNR: 24.30307388305664
2024-04-22 23:22:31,643 - INFO - Iteration: 1900, PSNR: 24.46714210510254
2024-04-22 23:22:40,921 - INFO - Iteration: 2000, PSNR: 24.2847843170166
2024-04-22 23:22:50,151 - INFO - Iteration: 2100, PSNR: 24.529903411865234
2024-04-22 23:22:58,876 - INFO - Iteration: 2200, PSNR: 24.35633087158203
2024-04-22 23:23:08,465 - INFO - Iteration: 2300, PSNR: 24.809295654296875
2024-04-22 23:23:17,637 - INFO - Iteration: 2400, PSNR: 25.021591186523438
2024-04-22 23:23:26,755 - INFO - Iteration: 2500, PSNR: 24.599130630493164
2024-04-22 23:23:36,041 - INFO - Iteration: 2600, PSNR: 25.00493049621582
2024-04-22 23:23:45,539 - INFO - Iteration: 2700, PSNR: 25.272933959960938
2024-04-22 23:23:54,916 - INFO - Iteration: 2800, PSNR: 25.172719955444336
2024-04-22 23:24:04,256 - INFO - Iteration: 2900, PSNR: 25.28835105895996
2024-04-22 23:24:13,902 - INFO - Iteration: 3000, PSNR: 25.57598114013672
2024-04-22 23:24:22,970 - INFO - Iteration: 3100, PSNR: 23.67174530029297
2024-04-22 23:24:32,250 - INFO - Iteration: 3200, PSNR: 25.561382293701172
2024-04-22 23:24:41,104 - INFO - Iteration: 3300, PSNR: 24.311176300048828
2024-04-22 23:24:50,390 - INFO - Iteration: 3400, PSNR: 24.42116928100586
2024-04-22 23:24:59,837 - INFO - Iteration: 3500, PSNR: 25.888893127441406
2024-04-22 23:25:09,222 - INFO - Iteration: 3600, PSNR: 25.48090934753418
2024-04-22 23:25:18,441 - INFO - Iteration: 3700, PSNR: 25.623605728149414
2024-04-22 23:25:27,889 - INFO - Iteration: 3800, PSNR: 25.54673957824707
2024-04-22 23:25:37,249 - INFO - Iteration: 3900, PSNR: 26.274507522583008
2024-04-22 23:25:46,713 - INFO - Iteration: 4000, PSNR: 26.130477905273438
2024-04-22 23:25:56,181 - INFO - Iteration: 4100, PSNR: 26.18863868713379
2024-04-22 23:26:05,162 - INFO - Iteration: 4200, PSNR: 25.55579948425293
2024-04-22 23:26:14,018 - INFO - Iteration: 4300, PSNR: 25.973735809326172
2024-04-22 23:26:23,066 - INFO - Iteration: 4400, PSNR: 26.68112564086914
2024-04-22 23:26:32,294 - INFO - Iteration: 4500, PSNR: 25.283220291137695
2024-04-22 23:26:41,171 - INFO - Iteration: 4600, PSNR: 26.24618148803711
2024-04-22 23:26:50,311 - INFO - Iteration: 4700, PSNR: 26.493324279785156
2024-04-22 23:26:59,114 - INFO - Iteration: 4800, PSNR: 26.486026763916016
2024-04-22 23:27:08,174 - INFO - Iteration: 4900, PSNR: 26.145917892456055
